,File_Name,Result
0,199_O_NA1.png,N
1,199_O_NA2.png,N
2,199_F_NA1.png,N
3,199_F_NA2.png,N
4,199_O_IB1.png,N
5,199_O_IB2.png,N
6,199_F_IB1.png,N
7,199_F_IB2.png,N
8,199_O_BC1.png,N
9,199_O_BC2.png,N
10,199_F_BC1.png,N
11,199_F_BC2.png,N
12,199_O_CA1.png,N
13,199_O_CA2.png,N
14,199_F_CA1.png,N
15,199_F_CA2.png,N
16,199_O_CR1.png,N
17,199_O_CR2.png,N
18,199_F_CR1.png,N
19,199_F_CR2.png,N
20,199_O_JC3.jpg,N
21,199_O_JC6.jpg,N
22,199_F_JC3.jpg,N
23,199_F_JC6.jpg,N
24,066_O_NA1.png,N
25,066_O_NA2.png,N
26,066_F_NA1.png,N
27,066_F_NA2.png,N
28,066_O_IB1.png,N
29,066_O_IB2.png,N
30,066_F_IB1.png,N
31,066_F_IB2.png,N
32,066_O_BC1.png,N
33,066_O_BC2.png,N
34,066_F_BC1.png,N
35,066_F_BC2.png,N
36,066_O_CA1.png,N
37,066_O_CA2.png,N
38,066_F_CA1.png,N
39,066_F_CA2.png,N
40,066_O_CR1.png,N
41,066_O_CR2.png,N
42,066_F_CR1.png,N
43,066_F_CR2.png,N
44,066_O_JC3.jpg,N
45,066_O_JC6.jpg,N
46,066_F_JC3.jpg,N
47,066_F_JC6.jpg,N
48,188_O_NA1.png,N
49,188_O_NA2.png,N
50,188_F_NA1.png,N
51,188_F_NA2.png,N
52,188_O_IB1.png,Y
53,188_O_IB2.png,Y
54,188_F_IB1.png,Y
55,188_F_IB2.png,Y
56,188_O_BC1.png,N
57,188_O_BC2.png,N
58,188_F_BC1.png,N
59,188_F_BC2.png,N
60,188_O_CA1.png,Y
61,188_O_CA2.png,Y
62,188_F_CA1.png,Y
63,188_F_CA2.png,Y
64,188_O_CR1.png,Y
65,188_O_CR2.png,N
66,188_F_CR1.png,Y
67,188_F_CR2.png,N
68,188_O_JC3.jpg,N
69,188_O_JC6.jpg,N
70,188_F_JC3.jpg,N
71,188_F_JC6.jpg,N
72,091_O_NA1.png,N
73,091_O_NA2.png,N
74,091_F_NA1.png,N
75,091_F_NA2.png,N
76,091_O_IB1.png,N
77,091_O_IB2.png,N
78,091_F_IB1.png,N
79,091_F_IB2.png,N
80,091_O_BC1.png,N
81,091_O_BC2.png,N
82,091_F_BC1.png,N
83,091_F_BC2.png,N
84,091_O_CA1.png,N
85,091_O_CA2.png,N
86,091_F_CA1.png,N
87,091_F_CA2.png,N
88,091_O_CR1.png,N
89,091_O_CR2.png,N
90,091_F_CR1.png,N
91,091_F_CR2.png,N
92,091_O_JC3.jpg,N
93,091_O_JC6.jpg,N
94,091_F_JC3.jpg,N
95,091_F_JC6.jpg,N
96,156_O_NA1.png,N
97,156_O_NA2.png,N
98,156_F_NA1.png,N
99,156_F_NA2.png,N
100,156_O_IB1.png,N
101,156_O_IB2.png,N
102,156_F_IB1.png,Y
103,156_F_IB2.png,N
104,156_O_BC1.png,N
105,156_O_BC2.png,N
106,156_F_BC1.png,N
107,156_F_BC2.png,Y
108,156_O_CA1.png,N
109,156_O_CA2.png,N
110,156_F_CA1.png,Y
111,156_F_CA2.png,N
112,156_O_CR1.png,N
113,156_O_CR2.png,N
114,156_F_CR1.png,N
115,156_F_CR2.png,Y
116,156_O_JC3.jpg,N
117,156_O_JC6.jpg,N
118,156_F_JC3.jpg,N
119,156_F_JC6.jpg,N
