,File_Name,Result
0,025_F.png,Y
1,065_F.png,N
2,105_F.png,N
3,145_F.png,N
4,184_F.png,N
5,013_F.png,Y
6,053_F.png,N
7,093_F.png,N
8,133_F.png,N
9,172_F.png,N
10,063_F.png,N
11,103_F.png,N
12,143_F.png,N
13,182_F.png,N
14,008_F.png,N
15,048_F.png,N
16,088_F.png,N
17,128_F.png,N
18,167_F.png,N
19,039_F.png,Y
20,079_F.png,Y
21,119_F.png,N
22,130_F.png,N
23,198_F.png,N
24,029_O.png,N
25,069_O.png,N
26,109_O.png,N
27,149_O.png,N
28,188_O.png,N
29,011_O.png,N
30,051_O.png,N
31,091_O.png,N
32,131_O.png,N
33,170_O.png,N
34,017_O.png,N
35,057_O.png,N
36,097_O.png,N
37,137_O.png,N
38,176_O.png,N
39,027_O.png,N
40,067_O.png,N
41,107_O.png,N
42,147_O.png,N
43,186_O.png,N
44,026_O.png,N
45,066_O.png,N
46,106_O.png,N
47,146_O.png,N
48,185_O.png,N
